Organization,Period End Date,Category,Counterparty Rating,"Amount (US$, millions)"
IBRD,2010-06-30T00:00:00.000,"Agencies, ABS, Corporates and Time Deposites",BB,7
IBRD,2010-06-30T00:00:00.000,"Agencies, ABS, Corporates and Time Deposites",AA,10039
IBRD,2010-06-30T00:00:00.000,"Agencies, ABS, Corporates and Time Deposites",AAA,6160
IBRD,2010-06-30T00:00:00.000,"Agencies, ABS, Corporates and Time Deposites",BBB,4
IBRD,2010-06-30T00:00:00.000,"Agencies, ABS, Corporates and Time Deposites",A,4944
IBRD,2010-06-30T00:00:00.000,Net Swap Exposure,AA,586
IBRD,2010-06-30T00:00:00.000,Net Swap Exposure,A,148
IBRD,2010-06-30T00:00:00.000,Net Swap Exposure,AAA,93
IBRD,2010-06-30T00:00:00.000,Sovereigns,A,713
IBRD,2010-06-30T00:00:00.000,Sovereigns,AAA,7561
IBRD,2010-06-30T00:00:00.000,Sovereigns,AA,5818
IBRD,2011-06-30T00:00:00.000,"Agencies, ABS, Corporates and Time Deposites",BB or lower,11
IBRD,2011-06-30T00:00:00.000,"Agencies, ABS, Corporates and Time Deposites",AAA,6698
IBRD,2011-06-30T00:00:00.000,"Agencies, ABS, Corporates and Time Deposites",AA,11814
IBRD,2011-06-30T00:00:00.000,"Agencies, ABS, Corporates and Time Deposites",A,3313
IBRD,2011-06-30T00:00:00.000,"Agencies, ABS, Corporates and Time Deposites",BBB,4
IBRD,2011-06-30T00:00:00.000,Net Swap Exposure,AA,989
IBRD,2011-06-30T00:00:00.000,Net Swap Exposure,A,190
IBRD,2011-06-30T00:00:00.000,Sovereigns,AAA,4379
IBRD,2011-06-30T00:00:00.000,Sovereigns,AA,4671
IBRD,2011-06-30T00:00:00.000,Sovereigns,A,488
IBRD,2012-06-30T00:00:00.000,"Agencies, ABS, Corporates and Time Deposites",AAA,8054
IBRD,2012-06-30T00:00:00.000,"Agencies, ABS, Corporates and Time Deposites",AA,8030
IBRD,2012-06-30T00:00:00.000,"Agencies, ABS, Corporates and Time Deposites",A,3457
IBRD,2012-06-30T00:00:00.000,"Agencies, ABS, Corporates and Time Deposites",BBB,4
IBRD,2012-06-30T00:00:00.000,"Agencies, ABS, Corporates and Time Deposites",BB or lower,8
IBRD,2012-06-30T00:00:00.000,Net Swap Exposure,AA,550
IBRD,2012-06-30T00:00:00.000,Net Swap Exposure,A,177
IBRD,2012-06-30T00:00:00.000,Sovereigns,AAA,8842
IBRD,2012-06-30T00:00:00.000,Sovereigns,AA,6086
IBRD,2013-06-30T00:00:00.000,"Agencies, Commercial Paper, ABS, Corporates and Time Deposites",A,5123
IBRD,2013-06-30T00:00:00.000,"Agencies, Commercial Paper, ABS, Corporates and Time Deposites",AAA,8175
IBRD,2013-06-30T00:00:00.000,"Agencies, Commercial Paper, ABS, Corporates and Time Deposites",AA,8430
